,logs,mydate,eid,ename,belongsession,sets,total_reps,total_weight,max_weight,one_RM,category,order
0,"50x6,50x6,50x6,50x6",2019-03-08,2,Barbell Bench Press,2,4,24,200.0,50.0,60.0,chest,1
1,"10x12,10x10,10x8",2019-03-08,165,Dumbbell Incline Fly,2,3,30,30.0,10.0,14.0,chest,2
2,"10x8,6x10,6x10,6x10",2019-03-08,884,Dumbbell Standing Press,2,4,38,28.0,10.0,12.7,shoulder,3
3,"6x9,6x10,6x10,6x10",2019-03-08,32,Dumbbell Lateral Raise,2,4,39,24.0,6.0,8.0,shoulder,4
4,"9x12,9x12,9x12,9x9",2019-03-08,250,Cable Triceps Pushdown,2,4,45,36.0,9.0,12.6,triceps,5
5,"1x8,6x10,6x4,6x7",2019-03-08,1179,Cable One Arm Standing Overhead Tricep Extension,2,4,29,19.0,6.0,8.0,triceps,6
6,"0x60,0x60",2019-03-08,2,Flat Bench Dumbbell Hold,2,2,120,0.0,0.0,0.0,back,7
7,"10x6,12.5x6,12.5x6",2019-03-08,675,Weight Plate  Decline Crunch,3,3,18,35.0,12.5,15.0,abdominals,8
8,"12.5x12,15x6,15x6",2019-03-08,80,Dumbbell Side Bend,3,3,24,42.5,15.0,18.0,abdominals,9
9,"3.5x15,3.5x15",2019-03-09,3,One Arm Lat Pull-in,4,2,30,7.0,3.5,5.2,back,1
10,"40x6,45x6,45x6",2019-03-09,1262,Machine Assisted Pull Up,4,3,18,130.0,45.0,54.0,back,2
11,"10x12,12.5x12,12.5x12",2019-03-09,90,Dumbbell One-Arm Row,4,3,36,35.0,12.5,17.5,back,3
12,50x12,2019-03-09,86,Wide Grip Lat Pulldown,4,1,12,50.0,50.0,70.0,back,4
13,62.5x12,2019-03-09,87,Close Grip Front Lat Pulldown,4,1,12,62.5,62.5,87.5,back,5
14,50x12,2019-03-09,1248,Close Grip Reverse Lat Pull Down,4,1,12,50.0,50.0,70.0,back,6
15,"25x15,30x15",2019-03-09,874,Cable Rope Face Pull,4,2,30,55.0,30.0,45.0,back,7
16,"22.5x15,22.5x15",2019-03-09,878,Machine Reverse Flyes,4,2,30,45.0,22.5,33.8,back,8
17,"5x10,2.5x15",2019-03-09,1108,Dumbbell Bent Over Reverse Fly,4,2,25,7.5,5.0,6.7,back,9
18,"10x6,10x6,10x4",2019-03-09,100,Dumbbell Bicep Curl,4,3,16,30.0,10.0,12.0,biceps,10
