,row_id,USERID,TIMESTAMP,gender,currentRoutine,DOB,name,length,mass,dbversion,vibration,alarm,timer,sets,targetrep,age,zonedifference,location,use_location,screenon,auto_lock,lastlogs,preloadreps,exp_level,fit_goal,audio_reminder,audio_exercise_tips,audio_personal_tips
0,### WORKOUT SESSIONS #################################,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rowid,_id,USERID,edit_time,day_id,total_time,workout_time,rest_time,wasted_time,total_exercise,total_weight,recordbreak,starttime,endtime,workout_mode,TIMESTAMP,,,,,,,,,,,,
2,293965423,1,7317810,1550723647,0,80,0,0,80,0,0,0,1550698365,1550698445,0,2022-08-13 14:08:01,,,,,,,,,,,,
3,299772744,2,7317810,1552096282,2,3022,1052,1026,314,7,1693,7,1552060857,1552063879,0,2022-08-13 14:08:01,,,,,,,,,,,,
4,299775940,3,7317810,1552093777,8,987,372,487,0,3,3735,3,1552063987,1552064974,0,2022-08-13 14:08:01,,,,,,,,,,,,
5,300089644,4,7317810,1552177919,3,3749,1169,1920,0,12,5400,12,1552145361,1552149110,0,2022-08-13 14:08:01,,,,,,,,,,,,
6,300413531,5,7317810,1552268204,7,3728,1378,1357,363,8,7425,8,1552239275,1552243003,0,2022-08-13 14:08:01,,,,,,,,,,,,
7,300426805,6,7317810,1552271587,9,3296,519,566,1941,3,562.5,0,1552243090,1552246386,0,2022-08-13 14:08:01,,,,,,,,,,,,
8,301226349,7,7317810,1552440411,6,4619,1421,1289,829,12,5281.5,9,1552410591,1552415210,0,2022-08-13 14:08:01,,,,,,,,,,,,
9,301239055,8,7317810,1552442206,8,1582,354,301,657,3,525,1,1552415423,1552417005,0,2022-08-13 14:08:01,,,,,,,,,,,,
10,301744649,9,7317810,1552536405,5,3121,890,1183,418,7,1652,6,1552508078,1552511199,0,2022-08-13 14:08:01,,,,,,,,,,,,
11,302052121,10,7317810,1552610162,4,4449,1408,1741,580,8,4480,7,1552576911,1552581360,0,2022-08-13 14:08:01,,,,,,,,,,,,
12,302062403,11,7317810,1552608281,8,1552,354,660,358,3,540,0,1552581531,1552583083,0,2022-08-13 14:08:01,,,,,,,,,,,,
13,303964619,12,7317810,1553039138,2,4046,1212,1500,704,7,3084,3,1553002689,1553006735,0,2022-08-13 14:08:01,,,,,,,,,,,,
14,303977840,13,7317810,1553037454,8,1765,570,668,167,4,2275,1,1553006888,1553008653,0,2022-08-13 14:08:01,,,,,,,,,,,,
15,304546750,14,7317810,1553135319,3,3643,1189,1101,453,10,5394,3,1553102874,1553106517,0,2022-08-13 14:08:01,,,,,,,,,,,,
16,304970677,15,7317810,1553226829,7,4427,1356,1303,1048,8,10455,5,1553190000,1553194427,0,2022-08-13 14:08:01,,,,,,,,,,,,
17,304978165,16,7317810,1553224675,8,1326,414,455,187,3,2085,1,1553194548,1553195874,0,2022-08-13 14:08:01,,,,,,,,,,,,
18,305358826,17,7317810,1553301888,5,3775,1048,1350,747,7,1860,7,1553269311,1553273086,0,2022-08-13 14:08:01,,,,,,,,,,,,
19,305791234,18,7317810,1553399280,6,4234,1456,1459,239,12,5337,8,1553362639,1553366873,0,2022-08-13 14:08:01,,,,,,,,,,,,
20,305810907,19,7317810,1553397233,8,1371,508,484,109,3,2460,1,1553367059,1553368430,0,2022-08-13 14:08:01,,,,,,,,,,,,
